Date;Period;BE;DE;FR
01/11/2015;1;-4500;-2507.540103751;5101
01/11/2015;1;-3255.56483121364;-5949.72425428367;5101
01/11/2015;1;-4500;3952.69753231901;1595.10307704154
01/11/2015;1;-2442.54301044813;-727.633276967816;1046.59601640522
01/11/2015;1;-4290.79244330509;4227.57442095161;1131.88701639875
01/11/2015;1;-3870.12443111938;3569.78022323409;857.395492607252
01/11/2015;1;-3235.50115926521;-6000;5101
01/11/2015;1;-2718.74810606061;-6000;5101
01/11/2015;1;-4500;-501.485177151174;5101
01/11/2015;1;-3761.40755260865;1564.49087688607;5101
01/11/2015;1;-1873.07156945618;1022.07156945618;5101
01/11/2015;1;-2962.35339524701;1458.57888581949;5101
01/11/2015;1;-398.178453156714;-452.821546843285;5101
01/11/2015;1;-2446.68842567199;-6000;4196.68842567199
01/11/2015;1;-3146.7204848493;-6000;4976.75048885534
01/11/2015;1;-4.78024117185501;-4595.71021440263;350.490455574479
01/11/2015;1;-3134.18110374959;-5985.26531402043;4950.97207352638
01/11/2015;1;-2340.93366241825;-5345.91713760766;3554.78957717204
01/11/2015;1;-1183.94942574906;-4755.06168930266;1792.13925051209
01/11/2015;1;1269.11164339071;-6000;480.888356609287
01/11/2015;1;2026.01097198406;-6000;1759.79862202243
01/11/2015;1;-4500;3072.90663876947;2941.84565126964
01/11/2015;1;1884.40976711529;4658.17834557147;-4917.6614840969
01/11/2015;1;1511.15885266625;5987.92467844785;-5155.70790573261
01/11/2015;1;1779.4582190239;4337.48547228097;-4901.27660531585
01/11/2015;1;1207.50635835707;5403.20285926908;-5149.4616070453
01/11/2015;1;-1595.21228550619;6666.91981889729;-3765.80953948662
01/11/2015;1;-1923.61545634977;6496.59626396688;-3300.72693998215
01/11/2015;1;-2430.09601144742;-731.87544317226;1031.54558402255
01/11/2015;1;-2426.2742946398;-756.276968385337;1039.82545789347
01/11/2015;1;1080.70039365687;-1017.06982878827;-2847.46339983587
01/11/2015;1;1079.68488643755;-1050.92155391665;-2828.73073061786
01/11/2015;1;1.10825235606623;5014.85323236036;-4739.48493422888
01/11/2015;1;-2395.41910808912;-806.750989058907;1030.62763136271
01/11/2015;1;2535.81874508646;-377.412542316302;1081.48671981115
