Date;Period;BE;DE;FR;NL;RAM
06/08/2016;4;0.00908;0.27249;0.17892;0.03102;1153.3767
06/08/2016;4;0;0;1;0;3504
06/08/2016;4;0.0041;0.07816;0.03607;-0.16522;725.4349
06/08/2016;4;0;1;0;0;7000
06/08/2016;4;-0.09048;-0.27379;-0.1672;-0.41508;1312.3211
06/08/2016;4;-0.1096;-0.04721;-0.06203;0;240.9852
06/08/2016;4;-0.10615;-0.0335;-0.04317;0;241.0467
06/08/2016;4;-0.07965;-0.07581;-0.17003;0;293.1992
06/08/2016;4;0.02522;-0.05005;-0.05068;-0.03228;319.6753
06/08/2016;4;-0.05037;-0.07107;-0.17808;0;292.7491
06/08/2016;4;0;-1;0;0;4400
06/08/2016;4;-0.10916;-0.03576;-0.05464;0;241.4608
06/08/2016;4;-0.0041;-0.07816;-0.03607;0.16522;1023.5651
06/08/2016;4;-0.04335;-0.07393;-0.17897;0;292.8714
06/08/2016;4;0.03422;-0.19692;-0.08321;-0.2696;1329.6669
06/08/2016;4;-0.04487;-0.2462;-0.38659;-0.15301;954.4469
06/08/2016;4;0;0;0;1;4250
06/08/2016;4;-0.10749;-0.04332;-0.05279;0;241.0987
06/08/2016;4;0.00778;0.17926;0.0951;-0.07335;979.6246
06/08/2016;4;-0.11542;-0.05399;-0.08547;0;241.1178
06/08/2016;4;0.02494;-0.04873;-0.06685;-0.02081;277.8052
06/08/2016;4;-0.10577;-0.03626;-0.04329;0;241.1923
06/08/2016;5;-0.1061;-0.03654;-0.04358;0;242.1084
06/08/2016;5;-0.08215;-0.07641;-0.16965;0;293.0094
06/08/2016;5;-0.10784;-0.04365;-0.05319;0;242.0004
06/08/2016;5;-0.04338;-0.07318;-0.17952;0;293.1094
06/08/2016;5;-0.04487;-0.2462;-0.38641;-0.1526;979.3221
06/08/2016;5;0.00778;0.17926;0.095;-0.07342;975.6466
06/08/2016;5;0;1;0;0;7000
06/08/2016;5;0;0;1;0;3675
06/08/2016;5;0.03422;-0.19692;-0.08295;-0.2697;1334.6943
06/08/2016;5;0.02494;-0.04873;-0.06692;-0.02073;276.7819
06/08/2016;5;-0.10951;-0.03601;-0.05501;0;242.387
06/08/2016;5;-0.05069;-0.07128;-0.17831;0;292.6863
06/08/2016;5;-0.10995;-0.04755;-0.06242;0;241.8837
06/08/2016;5;-0.1065;-0.03385;-0.04357;0;241.9422
06/08/2016;5;0.00908;0.27249;0.17872;0.03003;1183.6757
06/08/2016;5;-0.05089;0.19511;0.08299;0.23607;1021.8332
06/08/2016;5;0;-1;0;0;4400
06/08/2016;5;-0.06012;-0.07101;-0.17619;0;292.7488
06/08/2016;5;-0.04302;-0.0744;-0.17928;0;292.7288
06/08/2016;5;-0.1158;-0.05443;-0.08601;0;241.9868
06/08/2016;5;0;0;0;1;4250
06/08/2016;5;-0.09048;-0.27379;-0.16708;-0.416;1310.5959
06/08/2016;5;-0.04688;-0.07219;-0.17896;0;293.4107
06/08/2016;5;0.0041;0.07816;0.03604;-0.16363;703.9582
06/08/2016;6;-0.04487;-0.2462;-0.38674;-0.1526;936.3254
06/08/2016;6;-0.04078;-0.07146;-0.1808;0;292.6554
06/08/2016;6;-0.03111;-0.07718;-0.18156;0;292.8898
