Date	Period	BE	DE	FR
2016-08-06	3	-326.8196	-396.6201	-1388.604
2016-08-06	3	-771.9548	6466.195	-3877.043
2016-08-06	3	491.3012	6238.336	-4146.803
2016-08-06	3	3248.941	-4400	-267.3095
2016-08-06	3	3315.017	-3982.301	-455.4507
2016-08-06	3	5030.158	-1307.912	-374.7247
2016-08-06	3	3322.008	-3943.261	-472.2244
2016-08-06	3	5059.271	472.7243	-1428.013
2016-08-06	3	-2436.593	-391.4936	721.6698
2016-08-06	3	-2773.696	5924.698	-2676.177
2016-08-06	3	-2549.223	-59.84226	732.8538
2016-08-06	3	-3674.445	3965.335	385.7685
2016-08-06	3	228.8897	-4400	221.9754
2016-08-06	3	-327.3903	-401.5471	-1386.419
2016-08-06	3	-1286.823	-4400	1742.712
2016-08-06	3	-2432.294	-418.488	732.7239
2016-08-06	3	-2701.723	6019.923	-2820.888
2016-08-06	3	3549.444	-4400	3250
2016-08-06	3	3477.625	-4099.999	3250
2016-08-06	3	-1734.361	6497.132	-3457.922
2016-08-06	3	-2594.459	2405.058	3085.268
2016-08-06	3	-1549.801	-4400	2207.524
2016-08-06	3	-2061.098	-4400	3250
2016-08-06	3	-2429.783	-463.2656	762.413
2016-08-06	3	-2438.52	-629.8683	917.3133
2016-08-06	3	-2333.963	-3723.875	3250
2016-08-06	3	-3401.583	-587.2662	3250
2016-08-06	3	-4263.845	2155.072	3250
2016-08-06	3	-2662.493	6052.197	-2867.779
2016-08-06	3	3238.111	3907.302	-3634.188
2016-08-06	3	-3173.094	-1288.407	3250
2016-08-06	3	-2841.212	-1016.63	2216.712
2016-08-06	3	-3033.638	-1694.798	3250
2016-08-06	3	5028.385	790.1591	-1568.544
2016-08-06	3	2226.527	-1226.527	3250
2016-08-06	3	4726.511	1522.641	-1999.152
2016-08-06	3	1743.297	-743.2973	3250
2016-08-06	3	-2639.166	2299.979	3250
2016-08-06	4	-1754.41	7000	-3890.501
2016-08-06	4	-2637.344	6653.268	-3455.384
2016-08-06	4	-1388.596	7000	-4012.992
2016-08-06	4	-328.2971	-417.9746	-1384.248
2016-08-06	4	-328.2656	-417.7056	-1384.367
2016-08-06	4	-772.1542	6917.548	-4186.241
2016-08-06	4	842.6638	5897.906	-4236.064
2016-08-06	4	3434.565	3963.446	-4077.347
2016-08-06	4	-214.4998	-87.4312	-1548.355
2016-08-06	4	3477.938	-202.3093	-2395.28
2016-08-06	4	-3238.953	2335.994	3504
2016-08-06	4	-4399.782	2230.521	3504
2016-08-06	4	-2084.654	5032.685	-727.5392
2016-08-06	4	-1669.178	7000	-3877.857
2016-08-06	4	-3686.138	4402.493	63.77864
2016-08-06	4	-2644.444	6649.579	-3450.413
2016-08-06	4	-2699.541	6567.082	-3323.898
2016-08-06	4	1909.254	-1245.625	3504
2016-08-06	4	3275.903	-4385.367	3504
2016-08-06	4	-3479.915	-684.2202	3504
2016-08-06	4	3279.403	-4400	3504
2016-08-06	4	-2190.593	-4400	3504
2016-08-06	4	-2294.241	-4142.82	3504
2016-08-06	4	4933.795	970.7206	-1719.952
2016-08-06	4	-588.497	6884.376	-4224.95
2016-08-06	4	4530.044	2199.966	-2866.61
2016-08-06	4	4894.648	-1503.871	-258.188
2016-08-06	4	-2446.291	-392.7349	736.246
2016-08-06	4	-2447.318	-345.1221	701.8224
2016-08-06	4	-1560.498	-4400	2221.012
2016-08-06	4	-1187.448	-4400	1561.875
2016-08-06	4	-2459.622	-250.6167	658.7407
2016-08-06	4	-2449.527	-423.3986	767.998
2016-08-06	4	-6.383954	-4400	240.3886
2016-08-06	4	248.6307	-4400	120.9279
2016-08-06	4	-328.3148	-4242.785	321.0999
2016-08-06	4	-354.9187	-4217.265	322.1841
2016-08-06	4	4621.179	-4400	1316.875
2016-08-06	4	4578.711	-4400	1184.162
2016-08-06	4	4729.451	-3505.92	791.7562
2016-08-06	4	-535.2956	-4400	685.2956
2016-08-06	4	2869.812	-4400	-513.9729
2016-08-06	4	-546.9883	-4400	696.9883
2016-08-06	4	3483.447	-477.4186	-2282.971
2016-08-06	5	-2277.932	-4394.536	3675
2016-08-06	5	-2451.436	-429.1824	772.6311
2016-08-06	5	-3581.957	-608.0792	3675
2016-08-06	5	-330.8822	-385.7002	-1393.198
2016-08-06	5	-329.5167	-391.0913	-1391.431
2016-08-06	5	-2677.807	6700.09	-3448.166
2016-08-06	5	-2677.837	6699.861	-3448.048
2016-08-06	5	251.5301	-4400	132.8111
2016-08-06	5	-202.824	-4400	352.824
2016-08-06	5	-360.2331	-4252.281	362.5143
2016-08-06	5	-2275.72	-4400	3675
2016-08-06	5	-2448.175	-398.1009	740.5139
