Date;Period;BE;DE;FR;NL;RAM;Row;Num_date
01/11/2015;4;-0.05381;-0.06677;-0.05712;0.23279;1231.87964;72;20151101
01/11/2015;4;0.01269;0.19055;0.08646;-0.10734;1279.25162;113;20151101
01/11/2015;4;0.00692;0.07574;0.03283;-0.09615;700.31546;127;20151101
01/11/2015;4;0;0;1;0;5101;131;20151101
01/11/2015;4;-1;0;0;0;4500;153;20151101
01/11/2015;4;0;-1;0;0;6000;245;20151101
01/11/2015;4;-0.09118;0.23045;0.09086;0.28621;1304.67899;268;20151101
01/11/2015;4;0.02453;-0.16314;0.07864;-0.10777;975.85641;273;20151101
01/11/2015;4;0.05565;-0.04949;-0.06761;-0.02152;257.04194;311;20151101
01/11/2015;4;0.02068;0.12071;0.05728;0.37599;920.32235;316;20151101
01/11/2015;4;-0.05565;0.04949;0.06761;0.02152;553.95806;317;20151101
01/11/2015;4;0.1068;0.27322;0.17015;0.39273;694.4321;318;20151101
01/11/2015;4;0.15019;-0.12891;-0.01771;-0.18201;976.9801;354;20151101
01/11/2015;4;0.14149;-0.17715;-0.08946;-0.21226;1002.1368;357;20151101
01/11/2015;4;-0.01618;-0.26931;-0.1678;0.0274;1464.70003;363;20151101
01/11/2015;4;0.11464;0.24652;0.3984;0.16749;1492.97056;407;20151101
01/11/2015;4;0;0;0;-1;4250;412;20151101
01/11/2015;4;0.05466;-0.05386;-0.05006;-0.03726;291.40268;437;20151101
01/11/2015;5;0;-1;0;0;6000;38;20151101
01/11/2015;5;-1;0;0;0;4500;55;20151101
01/11/2015;5;0.02068;0.12071;0.05728;0.3711;913.81135;66;20151101
01/11/2015;5;0.09806;-0.19218;-0.06561;-0.26093;1097.61848;81;20151101
01/11/2015;5;0.02453;-0.16314;0.07829;-0.10767;1021.65181;130;20151101
01/11/2015;5;0.14149;-0.17715;-0.08946;-0.21231;993.1418;176;20151101
01/11/2015;5;0;0;-1;0;2326;193;20151101
01/11/2015;5;-0.05381;-0.06677;-0.0571;0.23327;1255.84276;226;20151101
01/11/2015;5;0.1068;0.27322;0.17012;0.39296;709.39242;241;20151101
01/11/2015;5;0;0;1;0;5674;302;20151101
01/11/2015;5;0.00692;0.07574;0.03284;-0.09579;738.28502;320;20151101
01/11/2015;5;0;0;0;-1;4250;333;20151101
01/11/2015;5;0.11464;0.24652;0.3985;0.16734;1495.04116;345;20151101
01/11/2015;5;0.01618;0.26931;0.16775;-0.02814;1371.34617;365;20151101
01/11/2015;5;0.15019;-0.12891;-0.01771;-0.1821;968.9891;408;20151101
01/11/2015;5;-0.01618;-0.26931;-0.16775;0.02814;1514.65383;422;20151101
01/11/2015;5;-0.09118;0.23045;0.09085;0.2863;1316.66443;430;20151101
