Date,Period,BE,DE,FR
2015-11-01,1,-4500,-2507.540103751,5101
2015-11-01,1,-3255.56483121364,-5949.72425428367,5101
2015-11-01,1,-4500,3952.69753231901,1595.10307704154
2015-11-01,1,-2442.54301044813,-727.633276967816,1046.59601640522
2015-11-01,1,-4290.79244330509,4227.57442095161,1131.88701639875
2015-11-01,1,-3870.12443111938,3569.78022323409,857.395492607252
2015-11-01,1,-3235.50115926521,-6000,5101
2015-11-01,1,-2718.74810606061,-6000,5101
2015-11-01,1,-4500,-501.485177151174,5101
2015-11-01,1,-3761.40755260865,1564.49087688607,5101
2015-11-01,1,-1873.07156945618,1022.07156945618,5101
2015-11-01,1,-2962.35339524701,1458.57888581949,5101
2015-11-01,1,-398.178453156714,-452.821546843285,5101
2015-11-01,1,-2446.68842567199,-6000,4196.68842567199
2015-11-01,1,-3146.7204848493,-6000,4976.75048885534
2015-11-01,1,-4.78024117185501,-4595.71021440263,350.490455574479
2015-11-01,1,-3134.18110374959,-5985.26531402043,4950.97207352638
2015-11-01,1,-2340.93366241825,-5345.91713760766,3554.78957717204
2015-11-01,1,-1183.94942574906,-4755.06168930266,1792.13925051209
2015-11-01,1,1269.11164339071,-6000,480.888356609287
2015-11-01,1,2026.01097198406,-6000,1759.79862202243
2015-11-01,1,-4500,3072.90663876947,2941.84565126964
2015-11-01,1,1884.40976711529,4658.17834557147,-4917.6614840969
2015-11-01,1,1511.15885266625,5987.92467844785,-5155.70790573261
2015-11-01,1,1779.4582190239,4337.48547228097,-4901.27660531585
2015-11-01,1,1207.50635835707,5403.20285926908,-5149.4616070453
2015-11-01,1,-1595.21228550619,6666.91981889729,-3765.80953948662
2015-11-01,1,-1923.61545634977,6496.59626396688,-3300.72693998215
2015-11-01,1,-2430.09601144742,-731.87544317226,1031.54558402255
2015-11-01,1,-2426.2742946398,-756.276968385337,1039.82545789347
2015-11-01,1,1080.70039365687,-1017.06982878827,-2847.46339983587
2015-11-01,1,1079.68488643755,-1050.92155391665,-2828.73073061786
2015-11-01,1,1.10825235606623,5014.85323236036,-4739.48493422888
2015-11-01,1,-2395.41910808912,-806.750989058907,1030.62763136271
2015-11-01,1,2535.81874508646,-377.412542316302,1081.48671981115
2015-11-01,1,2183.08828646572,565.841517248877,1501.0701962854
2015-11-01,1,2397.6785433238,-3304.30222432679,2292.18758844456
2015-11-01,1,1263.87889525026,-832.601000295164,3818.7221050449
2015-11-01,1,1013.30550667231,-4262.26785448213,-1001.03765219017
2015-11-01,1,1636.68622889906,3507.75583230751,-894.442061206573
2015-11-01,1,1399.29736019038,6299.61724145562,-5048.47378727367
2015-11-01,1,-3060.12476129942,5660.81670227237,-1311.75081690726
2015-11-01,1,2886.66119553935,-1123.00840492159,268.00828082574
2015-11-01,1,-2434.57843468432,-868.79743052447,1114.29058851251
2015-11-01,1,2659.28577347183,-4313.0533488074,1810.80379824259
2015-11-01,1,-4149.99884987648,4412.55146630082,820.166350430522
2015-11-01,2,-4500,4831.55681381336,730.384549668466
2015-11-01,2,-4500,4147.18555284025,921.062043186745
2015-11-01,2,-3828.50447307508,5766.93352498994,-838.84708038118
2015-11-01,2,531.983560648549,-6000,1559.80234878876
2015-11-01,2,1864.51326531933,-6000,1207.88147293008
2015-11-01,2,1300.94164870468,-4779.97527621409,-458.740350414874
2015-11-01,2,1084.43621472151,4929.38421964958,-5752.05329015314
2015-11-01,2,1532.90863496096,4096.55453034353,-5557.78225019108
2015-11-01,2,273.762414945491,4724.42117368489,-5479.21642207246
2015-11-01,2,1056.70964723668,569.905192272729,-4154.81714017348
2015-11-01,2,-3032.5825423252,-6000,5085.92558126699
2015-11-01,2,2039.04163118071,-6000,1490.95570211739
2015-11-01,2,-3052.02946141135,-5995.96249821428,5101
2015-11-01,2,988.826727838596,-2812.37477218873,-2178.63943072429
2015-11-01,2,-3535.33592739442,-5532.25548715769,5101
2015-11-01,2,1068.32827029758,7000,-5307.933215887
2015-11-01,2,-1710.73203634946,7000,-4224.05130870952
2015-11-01,2,-2650.87331004135,7000,-2984.72708364004
2015-11-01,2,-2692.86654420518,7000,-2973.63667740349
2015-11-01,2,2174.14987449827,6850.65153298279,-5770.80306083155
2015-11-01,2,2434.76237599576,6696.89988876423,-5698.99288278031
2015-11-01,2,-4500,3973.96710776917,2006.52316419606
2015-11-01,2,-4500,-1042.80386740332,5101
2015-11-01,2,-4500,-3334.0719606789,5101
2015-11-01,2,-3453.59625770983,1708.70321047639,5101
2015-11-01,2,2654.06816158144,5299.14052519662,-3703.20868677806
2015-11-01,2,2583.16162940749,6330.14202844133,-5232.0725253308
2015-11-01,2,3108.17924329687,2843.96803602541,-1702.14727932228
2015-11-01,2,3210.94397409448,2662.13189730139,-1951.3228140267
2015-11-01,2,-2115.63273965089,1894.57358760666,4471.05915204423
2015-11-01,2,1093.35415436937,-698.170057477275,3854.81590310791
2015-11-01,2,2426.3110049686,-3460.12145576459,2027.73582230679
2015-11-01,2,-505.696388622562,-345.303611377437,5101
2015-11-01,2,2649.37459044252,-4480.58345719263,1543.66181006383
2015-11-01,2,2672.85701373707,-4372.44719674549,1561.55758992196
2015-11-01,2,2688.17667796382,1732.92842364718,-171.105101610997
2015-11-01,2,-2366.82239962061,1515.82239962061,5101
