"Date" "FR_load" "DE_wind" "DE_solar"
2016-01-01 54071.875 0.100486556166667 0.0183333333333333
2016-01-02 56589.5833333333 0.36910589 0.00958333333333333
2016-01-03 55517.7083333333 0.378979080416667 0.0145833333333333
2016-01-04 64815.625 0.264524373708333 0.01
2016-01-05 66279.6875 0.193077758166667 0.0129166666666667
2016-01-06 67146.3541666667 0.145864852666667 0.0133333333333333
2016-01-07 66572.3958333333 0.275854173125 0.015
2016-01-08 66668.75 0.439895698875 0.0429166666666667
2016-01-09 59450.5208333333 0.186667519458333 0.025
2016-01-10 56042.7083333333 0.32152889025 0.02
2016-01-11 65545.8333333333 0.185869571291667 0.01
2016-01-12 66962.5 0.281313038583333 0.0154166666666667
2016-01-13 70646.875 0.321473499708333 0.0125
2016-01-14 72873.9583333333 0.219805433125 0.0470833333333333
2016-01-15 73858.3333333333 0.146511693583333 0.00916666666666667
2016-01-16 69702.6041666667 0.12523546775 0.00875
2016-01-17 68925 0.101512555791667 0.00833333333333333
2016-01-18 77696.875 0.0797911196666667 0.02
2016-01-19 79215.625 0.15697471225 0.0216666666666667
2016-01-20 77952.0833333333 0.110475394541667 0.0154166666666667
2016-01-21 77444.7916666667 0.0428442372083333 0.0204166666666667
2016-01-22 75617.1875 0.181901847 0.0370833333333333
2016-01-23 67522.9166666667 0.261785670666667 0.01125
2016-01-24 60861.4583333333 0.234456811166667 0.0183333333333333
2016-01-25 66156.25 0.279522232208333 0.0354166666666667
2016-01-26 66890.625 0.440225724666667 0.04375
2016-01-27 64661.4583333333 0.612637016291667 0.02625
2016-01-28 64714.5833333333 0.439573552958333 0.0379166666666667
2016-01-29 65918.2291666667 0.591706575666667 0.0516666666666667
2016-01-30 59493.2291666667 0.62888429075 0.0291666666666667
2016-01-31 55183.8541666667 0.463796602166667 0.0216666666666667
2016-02-01 61044.2708333333 0.510488280375 0.0158333333333333
2016-02-02 62436.4583333333 0.648231118166667 0.02625
2016-02-03 66154.1666666667 0.502947055 0.0320833333333333
2016-02-04 67329.1666666667 0.348988462083333 0.01625
2016-02-05 65391.6666666667 0.245395632208333 0.0233333333333333
2016-02-06 56893.2291666667 0.374330910041667 0.0629166666666667
2016-02-07 54853.125 0.475314590541667 0.04
2016-02-08 63191.1458333333 0.689522565958333 0.0341666666666667
2016-02-09 65778.125 0.57645354975 0.0241666666666667
2016-02-10 69279.1666666667 0.3816918265 0.03
2016-02-11 71926.5625 0.306271460916667 0.04625
2016-02-12 69993.75 0.0825511445833333 0.0695833333333333
2016-02-13 62454.1666666667 0.147103144125 0.05125
2016-02-14 59610.4166666667 0.264115549625 0.0279166666666667
2016-02-15 69638.0208333333 0.201344622791667 0.025
2016-02-16 73598.4375 0.0705891050833333 0.05
2016-02-17 75577.6041666667 0.18714123625 0.0466666666666667
2016-02-18 74743.75 0.077065858625 0.0666666666666667
2016-02-19 73276.5625 0.102262529958333 0.0366666666666667
2016-02-20 62387.5 0.552759607791667 0.0183333333333333
2016-02-21 55050.5208333333 0.589844155541667 0.0233333333333333
2016-02-22 62732.2916666667 0.515703798333333 0.0525
2016-02-23 65638.5416666667 0.272010672041667 0.0395833333333333
2016-02-24 66832.2916666667 0.242017967791667 0.0775
2016-02-25 67792.1875 0.150737366333333 0.0641666666666667
2016-02-26 68919.7916666667 0.0870894609583333 0.08125
2016-02-27 63296.875 0.103913816958333 0.11625
2016-02-28 60448.9583333333 0.16983621075 0.0745833333333333
2016-02-29 69033.3333333333 0.231935498541667 0.0441666666666667
2016-03-01 71496.3541666667 0.216705185125 0.05
2016-03-02 67697.9166666667 0.344022781041667 0.035
2016-03-03 68363.5416666667 0.101587645958333 0.0541666666666667
2016-03-04 68245.3125 0.256437122625 0.0775
2016-03-05 63028.125 0.0855471010833333 0.0433333333333333
2016-03-06 61676.5625 0.10835780725 0.05125
2016-03-07 70807.8125 0.0585834946666667 0.0766666666666667
2016-03-08 71992.7083333333 0.062927828125 0.0791666666666667
2016-03-09 70399.7395833333 0.223170582541667 0.124583333333333
2016-03-10 68436.71875 0.120206748083333 0.1
2016-03-11 66769.7916666667 0.087393529625 0.0704166666666667
2016-03-12 59732.2916666667 0.0810655657916667 0.06625
2016-03-13 57730.7291666667 0.125776780958333 0.0620833333333333
2016-03-14 64470.3125 0.0869879504166667 0.139583333333333
2016-03-15 64779.1666666667 0.1466843545 0.0370833333333333
2016-03-16 65731.25 0.243534139041667 0.113333333333333
2016-03-17 65383.3333333333 0.0757798247083333 0.165833333333333
2016-03-18 64377.0833333333 0.128339655708333 0.117916666666667
2016-03-19 57983.3333333333 0.110833694958333 0.0775
2016-03-20 55062.5 0.260943456291667 0.06625
2016-03-21 62695.3125 0.29171719025 0.0654166666666667
2016-03-22 62606.7708333333 0.1700304255 0.0733333333333333
2016-03-23 61916.6666666667 0.129925354875 0.0658333333333333
2016-03-24 63005.7291666667 0.0706957144166667 0.075
2016-03-25 60971.875 0.168187473083333 0.0354166666666667
2016-03-26 53020.8333333333 0.213146284833333 0.132916666666667
2016-03-28 51374.4791666667 0.454293532 0.0975
2016-03-29 59632.8125 0.396579599208333 0.112916666666667
2016-03-30 58299.4791666667 0.283649947791667 0.07375
2016-03-31 59183.8541666667 0.10061750025 0.0925
2016-04-01 59511.9791666667 0.09070491075 0.11
2016-04-02 52937.5 0.161162839791667 0.147916666666667
2016-04-03 47834.375 0.104759275958333 0.130416666666667
2016-04-04 54394.2708333333 0.130955758 0.119583333333333
2016-04-05 57039.5833333333 0.1152540455 0.101666666666667
